Test utterance,Grammar reference,F5-decoded,M1-decoded,F2-decoded,M4-decoded,M2-decoded,F4-decoded,M5-decoded,F1-decoded,F3-decoded,M3-decoded
ik wil naar het erasmusgebouw,ik wil naar het erasmusgebouw,ik wil naar het erasmus gebouw,ik wil naar het erasmus gebouw,ik wil naar het erasmus gebouw,ik wil naar huis rasmus gebouw,ik wilde het rasmus gebouw,ik wil naar het erasmus gebouw,ik wil naar het erasmus gebouw,ik wil naar het erasmus gebouw,ik wil naar het was maasgebouw,ik wil naar rasmussen gebouw
ik moet richting het huygensgebouw,ik moet richting het huygensgebouw,ik moet richting het huigens gebouw,ik moet richting het huigens gebouw,ik moet richting het huigens gebouw,ik moet richting het huigens gebouw,ik moet richting het huigens gebouw,ik moet de richting het gebouw,oh ik moet richting het huigens gebouw,ik moet richting het huigens gebouw,ik moet richting het huigens gebouw,ik moet richting het huis gunstige waal
ik ga naar mercator,ik ga naar mercator,ik ga naar mercator,ik ga naar mercator,ik ga naar mijn kater,ik ga naar mercator,ik had er mercator,ik ga naar mercator,ik ga naar mekka te horen,ik ga naar mercator,ik ga naar mercator,ik ga naar mercator
ik moet naar het spinozagebouw,ik moet naar het spinozagebouw,ik moet naar het spinoza gebouw,ik moet naar het spinoza gebouw,ik moet naar het spinoza gebouw,ik moet naar het spinoza gebouw,ik moet er naar het spinoza gebouw,ik moet naar het spinoza gebouw,ik moet naar het spinoza gebouw,ik moet naar het spinoza gebouw,ik moet naar het spinoza gebouw,ik moet naar het spinoza gebouw
zou je mij naar mercator kunnen brengen,zou je mij naar mercator kunnen brengen,zou je mij na mercator kunnen brengen,zou je mij naar mercator kunnen brengen,zou je mij naar mijn kater kunnen brengen,zou je mij naar mercator kunnen brengen,zou je mij naar mijn mercator kunnen brengen,zou je mij naar mekka mercator kunnen brengen,zou je mij naar mercator kunnen brengen,zij maar naar mekka te kunnen brengen,zou jij mij naar mijn kunnen brengen,zou je mij naar mercato kunnen brengen
zou je mij naar het erasmusgebouw kunnen brengen,zou je mij naar het erasmusgebouw kunnen brengen,zou je mij naar het erasmus gebouw kunnen brengen,zou u mij naar het erasmus gebouwen kunnen brengen,zou hij mij naar het erasmus gebouw kunnen brengen,zou je mij naar het erasmus gebouw kunnen brengen,zou je mij naar het rasmus gebouw kunnen brengen,zou je mij naar het erasmus rauw kunnen brengen,zou je mij naar het erasmus gebouw kunnen brengen,zij mij naar het erasmus gebouw kunnen brengen,zou je mee naar het rasmussen gebouwen kunnen brengen,nou je mij naar het erasmus gebouwen kunnen brengen
je mag me bij het radboud ziekenhuis afzetten,je mag me bij het radboud ziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten,je mag me bij het radboudziekenhuis of zetten,je mag bij het radboudziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten,je mag me bij het radboudziekenhuis afzetten,die men waar hij het radboudziekenhuis afzetten
ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,ik wil er bij het centraal station uit,willen wij het centraal station uit,ik wil hem bij het centraal station arts,ik wil er bij het centraal station uit,ik hoor bij het centraal station uit,ik wil er bij het centraal station uit
hoe laat zijn we er,hoe laat zijn we er,hoe laat zijn we er,,hoe laat zijn we er,hoe laat zijn we er weer,hoe laat zijn d'r,hoe laat zijn we er,hoe laat zijn,,hoe laat zijn er,hoe laat zijn we er
hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan,hoe laat kom ik aan
