Test utterance,Grammar reference
breng mij naar station heyendaal,breng naar station heyendaal
ik wil naar het erasmusgebouw,ik wil naar het erasmusgebouw
ik moet richting het huygensgebouw,ik moet richting het huygensgebouw
ik ga naar mercator,ik ga naar mercator
ik moet naar het spinozagebouw,ik moet naar het spinozagebouw
zou je mij naar mercator kunnen brengen,zou je mij naar mercator kunnen brengen
zou je mij naar het erasmusgebouw kunnen brengen,zou je mij naar het erasmusgebouw kunnen brengen
kun je stoppen bij station heyendaal,kun je stoppen bij station heyendaal
kun je alsjeblieft stoppen bij station heyendaal,kun je stoppen bij station heyendaal
stoppen bij station heyendaal,kun je stoppen bij station heyendaal
je mag me bij het radboud ziekenhuis afzetten,je mag me bij het radboud ziekenhuis afzetten
je mag me bij station heyendaal afzetten,je mag me bij station heyendaal afzetten
je kunt me bij station heyendaal afzetten,je mag me bij station heyendaal afzetten
je mag me straks bij station heyendaal afzetten,je mag me bij station heyendaal afzetten
ik wil er bij het centraal station uit,ik wil er bij het centraal station uit
ik wil er bij huygensgebouw uit alsjeblieft,ik wil er bij huygensgebouw uit
ik moet er bij station heyendaal uit,ik wil er bij station heyendaal uit
hoe laat zijn we er,hoe laat zijn we er
hoe laat kom ik aan,hoe laat kom ik aan
hoe laat kom ik ongeveer op mijn bestemming,hoe laat kom ik ongeveer op mijn bestemming
wat is de aankomsttijd,wat is de aankomsttijd
wat is ongeveer de aankomsttijd,wat is de aankomsttijd
hoe lang duurt het nog,hoe lang duurt het nog
hoe lang duurt het nog voordat we er zijn,hoe lang duurt het nog
hoe lang duurt het,hoe lang duurt het nog
hoe lang duurt het ongeveer,hoe lang duurt het nog
kun je omkeren,kun je omkeren
kun je hier omkeren,kun je omkeren
omkeren,kun je omkeren
ik moet terug,ik moet terug
ik moet onmiddellijk terug,ik moet terug
keer terug naar het startpunt,keer terug naar het startpunt
naar het startpunt keer terug,keer terug naar het startpunt
keer zometeen terug naar het startpunt,keer terug naar het startpunt
keer terug naar startpunt,keer terug naar het startpunt
wat is de volgende halte,wat is de volgende halte
wat is de volgende stop,wat is de volgende stop
waar stoppen we zometeen,waar stoppen we zometeen
waar stoppen we dadelijk,waar stoppen we zometeen
waar stoppen we,waar stoppen we zometeen
trouwens waar stoppen we zometeen,waar stoppen we zometeen
waar zijn we nu,waar zijn we nu
nu zijn we waar,waar zijn we nu
en waar zijn we nu,waar zijn we nu
waar zijn we,waar zijn we nu
hoe heet het hier,hoe heet het hier
hier heet het hoe,hoe heet het hier
wat is de huidige locatie,wat is de huidige locatie
de huidige locatie is wat,wat is de huidige locatie
ik wil graag een tussenstop,ik wil graag een tussenstop
ik wil een tussenstop,ik wil graag een tussenstop
ik wil nog een tussenstop,ik wil graag een tussenstop
kunnen we onderweg stoppen bij station heyendaal,kunnen we onderweg stoppen bij station heyendaal
kunnen we stoppen bij station heyendaal,kunnen we onderweg stoppen bij station heyendaal
kunnen we ook stoppen bij station heyendaal,kunnen we onderweg stoppen bij station heyendaal
ik wil eerst nog langs station heyendaal,ik wil eerst nog langs station heyendaal
eerst wil ik nog langs station heyendaal,ik wil eerst nog langs station heyendaal
ik wil eerst langs station heyendaal,ik wil eerst nog langs station heyendaal
ik wil eerst nog naar station heyendaal,ik wil eerst nog langs station heyendaal
hoeveel kost de reis,hoeveel kost de reis
hoeveel kost deze reis,hoeveel kost de reis
hoe duur is het,hoe duur is het
hoe duur is dat,hoe duur is het
hoe duur,hoe duur is het
hoeveel moet ik betalen,hoeveel moet ik betalen
wat moet ik betalen,hoeveel moet ik betalen
kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken
kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken
kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf
kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur
