Test utterance,Grammar reference,WDR (utterance vs reference),F5-decoded,F5 WER,F5 CER,M5-decoded,M5 WER,M5 CER,F3-decoded,F3 WER,F3 CER,M2-decoded,M2 WER,M2 CER,F1-decoded,F1 WER,F1 CER,M1-decoded,M1 WER,M1 CER,M3-decoded,M3 WER,M3 CER,F4-decoded,F4 WER,F4 CER,M4-decoded,M4 WER,M4 CER,F2-decoded,F2 WER,F2 CER
breng mij naar station heyendaal,breng naar station heyendaal,0.2,breng naar station heyendaal,0.0,0.0,breng naar station heyendaal,0.0,0.0,breng naar een station heyendaal,0.25,0.25,breng naar station heyendaal,0.0,0.0,breng naar station heyendaal,0.0,0.0,breng naar station heyendaal,0.0,0.0,breng naar station heyendaal,0.0,0.0,breng naar station heyendaal,0.0,0.0,breng naar station heyendaal,0.0,0.0,breng naar station heyendaal,0.0,0.0
ik wil naar het erasmusgebouw,ik wil naar het erasmusgebouw,0.0,ik wil naar het erasmusgebouw,0.0,0.0,ik wil naar het erasmusgebouw,0.0,0.0,ik wil naar het erasmusgebouw,0.0,0.0,ik wil naar het erasmusgebouw,0.0,0.0,ik wil naar het erasmusgebouw,0.0,0.0,ik wil naar het erasmusgebouw,0.0,0.0,ik wil naar een erasmusgebouw,0.2,0.2,ik wil naar het erasmusgebouw,0.0,0.0,ik wil naar het erasmusgebouw,0.0,0.0,ik wil naar het erasmusgebouw,0.0,0.0
ik moet richting het huygensgebouw,ik moet richting het huygensgebouw,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0,ik moet richting het huygensgebouw,0.0,0.0
ik ga naar mercator,ik ga naar mercator,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0,ik ga naar mercator,0.0,0.0
ik moet naar het spinozagebouw,ik moet naar het spinozagebouw,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0,ik moet naar het spinozagebouw,0.0,0.0
zou je mij naar mercator kunnen brengen,zou je mij naar mercator kunnen brengen,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0,zou je mij naar mercator kunnen brengen,0.0,0.0
zou je mij naar het erasmusgebouw kunnen brengen,zou je mij naar het erasmusgebouw kunnen brengen,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0,zou je mij naar erasmusgebouw kunnen brengen,0.125,0.125,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0,zou je mij naar het erasmusgebouw kunnen brengen,0.0,0.0
kun je stoppen bij station heyendaal,kun je stoppen bij station heyendaal,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij een station heyendaal,0.16666666666666666,0.16666666666666666,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0
kun je alsjeblieft stoppen bij station heyendaal,kun je stoppen bij station heyendaal,0.14285714285714285,kun je stoppen bij station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.8333333333333334,0.8333333333333334,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0
stoppen bij station heyendaal,kun je stoppen bij station heyendaal,0.5,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij een station heyendaal,0.16666666666666666,0.16666666666666666,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0,kun je stoppen bij station heyendaal,0.0,0.0
